	Threshold	Precision	Recall	f1_score
409.0	0.9872294068336487	0.9230769230769231	0.6545454545454545	0.7659574468085106
410.0	0.9873886108398438	0.9210526315789473	0.6481481481481481	0.7608695652173912
411.0	0.9875296354293823	0.9459459459459459	0.660377358490566	0.7777777777777778
412.0	0.987553596496582	0.9444444444444444	0.6538461538461539	0.7727272727272727
413.0	0.987675130367279	0.9428571428571428	0.66	0.7764705882352942
414.0	0.9877829551696777	0.9411764705882353	0.6530612244897959	0.7710843373493975
415.0	0.9878346920013428	0.9393939393939394	0.6595744680851063	0.775
416.0	0.9879238605499268	0.9375	0.6666666666666666	0.7792207792207793
417.0	0.9879350662231445	0.9354838709677419	0.6744186046511628	0.7837837837837838
418.0	0.98797208070755	0.9333333333333333	0.6829268292682927	0.7887323943661972
419.0	0.9881623983383179	0.9310344827586207	0.675	0.7826086956521738
420.0	0.9881937503814697	0.9285714285714286	0.6666666666666666	0.7761194029850746
421.0	0.9881970286369324	0.9259259259259259	0.6578947368421053	0.7692307692307692
